device_id,room_id,timestamp,energy_kwh
D001,R001,2026-06-01 07:30:00,2.5
D002,R001,2026-06-01 08:15:00,0.8
D003,R002,2026-06-01 09:00:00,1.2
D001,R001,2026-06-01 18:30:00,3.8
D004,R003,2026-06-01 19:15:00,0.6
D005,R002,2026-06-01 20:00:00,4.5
D001,R001,2026-06-02 07:45:00,2.8
D002,R001,2026-06-02 08:10:00,
D003,R002,2026-06-02 10:00:00,1.5
D005,R002,2026-06-02 18:00:00,5.2
D004,R003,2026-06-02 21:00:00,0.7
D002,R001,2026-06-03 08:00:00,0.9
D003,R002,2026-06-03 11:00:00,1.3
D001,R001,2026-06-03 18:45:00,4.1
D005,R002,2026-06-03 19:30:00,
D004,R003,2026-06-03 22:00:00,0.5
D001,R001,2026-06-04 07:15:00,2.4
D003,R002,2026-06-04 09:30:00,1.1
D005,R002,2026-06-04 18:20:00,4.8
D004,R003,2026-06-04 20:10:00,0.9
D002,R001,2026-06-05 08:00:00,1.0
D003,R002,2026-06-05 12:00:00,
D001,R001,2026-06-05 19:00:00,3.9
D005,R002,2026-06-05 20:30:00,5.0